AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.AirHockey,2018-02-03T20:27:03.1105966Z,2018-02-03T20:29:18.482Z,8be450a8-54b4-475d-bf3a-4f727af13104,20.45,2.26,165.0
Dotyk.Application.AirHockey,2018-02-03T21:08:29.1120015Z,2018-02-03T21:16:22.466Z,27f2c3d9-1db1-48f3-96ad-ed22de1534ff,21.13,7.89,185.0
Dotyk.Application.AirHockey,2018-02-03T23:10:53.7763475Z,2018-02-03T23:13:30.83Z,71d13a10-87f6-4b6e-ad54-623056d2f3e3,23.17,2.62,165.0
Dotyk.Application.AirHockey,2018-02-04T10:00:18.3795899Z,2018-02-04T10:01:46.834Z,0e0113a4-7dde-470e-bce6-aaaacd9eb344,10.0,1.47,109.0
Dotyk.Application.AirHockey,2018-02-04T10:22:36.3275595Z,2018-02-04T10:23:18.182Z,c802a965-00e8-453f-ac43-c333649679e8,10.37,0.7,132.0
Dotyk.Application.AirHockey,2018-02-04T10:24:57.5785962Z,2018-02-04T10:26:02.264Z,a93705b5-6c06-4108-a823-4106543ca812,10.4,1.08,185.0
Dotyk.Application.AirHockey,2018-02-04T10:27:30.4354333Z,2018-02-04T10:27:44.269Z,a949400c-9d3c-44f0-a558-03efb54ddffe,10.45,0.23,132.0
Dotyk.Application.AirHockey,2018-02-04T10:31:35.7225721Z,2018-02-04T10:31:53.501Z,deb909da-3db8-426c-9fdc-82a9ef7bb31e,10.52,0.3,45.0
Dotyk.Application.AirHockey,2018-02-04T10:37:18.4827397Z,2018-02-04T11:43:14.005Z,bec6b985-46f9-41d6-89e3-3bdb144149cd,10.62,65.93,165.0
Dotyk.Application.AirHockey,2018-02-04T10:37:19.2682857Z,2018-02-04T10:39:19.425Z,36adf5c4-c640-45b6-af0d-2211f4c8565e,10.62,2.0,115.0
Dotyk.Application.AirHockey,2018-02-04T10:37:27.4082266Z,2018-02-04T10:38:53.541Z,bb973a92-6d93-430a-a453-cd5437b4e894,10.62,1.44,185.0
Dotyk.Application.AirHockey,2018-02-04T10:45:31.7808417Z,2018-02-04T10:46:08.732Z,16f87432-bc03-44e9-b2c2-4227fb3a3ed8,10.75,0.62,132.0
Dotyk.Application.AirHockey,2018-02-04T10:52:43.2495866Z,2018-02-04T10:56:34.026Z,07e0dac3-31e6-4446-a206-13cc1ce8d104,10.87,3.85,132.0
Dotyk.Application.AirHockey,2018-02-04T11:19:54.7645882Z,2018-02-04T11:19:57.914Z,23f6d99a-8638-4ef2-8e4c-a5d5be3f5123,11.32,0.05,45.0
Dotyk.Application.AirHockey,2018-02-04T11:25:18.3531089Z,2018-02-04T11:25:51.203Z,65a51caa-1848-4521-9fce-17223af66ebb,11.42,0.55,109.0
Dotyk.Application.AirHockey,2018-02-04T11:26:54.6401806Z,2018-02-04T11:27:04.204Z,f983cbad-e83c-485e-bfb7-5fca7cdb8e7d,11.43,0.16,45.0
Dotyk.Application.AirHockey,2018-02-04T11:27:08.1422838Z,2018-02-04T11:27:40.372Z,703a00a3-6280-4b71-b30d-95ed4fd4b74a,11.45,0.54,45.0
Dotyk.Application.AirHockey,2018-02-04T11:27:12.9274315Z,2018-02-04T11:27:44.059Z,e558f3b5-5afe-4f57-a012-7bd27c3d60ac,11.45,0.52,109.0
Dotyk.Application.AirHockey,2018-02-04T11:37:27.0896217Z,2018-02-04T11:38:04.042Z,f0c098ee-7748-43cd-98f0-503b9239b1ab,11.62,0.62,105.0
Dotyk.Application.AirHockey,2018-02-04T11:38:07.9176322Z,2018-02-04T11:39:29.771Z,bcde8f3e-38fd-4558-bfaf-b4ae0a472245,11.63,1.36,105.0
Dotyk.Application.AirHockey,2018-02-04T11:40:19.5996037Z,2018-02-04T11:44:18.711Z,3555d99c-a78d-4fea-8744-0eb5b68af43c,11.67,3.99,185.0
Dotyk.Application.AirHockey,2018-02-04T11:40:22.8562303Z,2018-02-04T11:41:39.915Z,f69b7141-5663-47fb-9437-22b12daf7edd,11.67,1.28,109.0
Dotyk.Application.AirHockey,2018-02-04T11:43:18.1069506Z,2018-02-04T11:50:31.308Z,e36fcc78-6dc4-4303-89e4-3e375c0aae16,11.72,7.22,185.0
Dotyk.Application.AirHockey,2018-02-04T11:49:18.8567194Z,2018-02-04T11:50:18.87Z,c615b0f1-3d93-49b6-baa5-24ec2ea1ebf0,11.82,1.0,132.0
Dotyk.Application.AirHockey,2018-02-04T11:50:15.9408226Z,2018-02-04T11:50:54.081Z,3c50cd76-7273-49e8-b0dc-032e3187d5a4,11.83,0.64,185.0
Dotyk.Application.AirHockey,2018-02-04T11:54:49.3617219Z,2018-02-04T12:16:57.56Z,6543e0c8-d16c-49df-b669-5d20396c6849,11.9,22.14,72.0
Dotyk.Application.AirHockey,2018-02-04T12:00:36.3933432Z,2018-02-04T12:08:17.413Z,fb308877-26a8-4df7-ba33-674b2a5144e5,12.0,7.68,45.0
Dotyk.Application.AirHockey,2018-02-04T12:09:24.7400681Z,2018-02-04T12:11:14.278Z,2790f205-7e68-428b-aa90-c136ba9b04a0,12.15,1.83,105.0
Dotyk.Application.AirHockey,2018-02-04T12:12:54.9089942Z,2018-02-04T12:13:12.691Z,6783a639-5a44-4a0f-81f7-f52d515e479a,12.2,0.3,109.0
Dotyk.Application.AirHockey,2018-02-04T12:23:43.365022Z,2018-02-04T12:24:13.893Z,abcb63f5-c2bf-43fd-b2b5-eca87782edb6,12.38,0.51,132.0
Dotyk.Application.AirHockey,2018-02-04T12:24:15.7744Z,2018-02-04T12:25:31.66Z,edb46d68-f70a-4ff1-abe7-bfe641536d1a,12.4,1.26,185.0
