AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.AirHockey,2018-02-01T16:08:48.6189453Z,2018-02-01T16:27:02.086Z,337e5c86-a31f-42ce-b275-802f63369ecf,16.13,18.22,115.0,16
Dotyk.Application.AirHockey,2018-02-01T16:09:32.0983319Z,2018-02-01T16:11:04.182Z,38173795-c1bc-48db-bc5b-395ff9a7cf69,16.15,1.53,36.0,16
Dotyk.Application.News,2018-02-01T16:11:48.5615712Z,2018-02-01T16:12:02.558Z,f61f1e45-667d-4aee-96da-8003e9ee6c48,16.18,0.23,19.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:13:06.1362419Z,2018-02-01T16:13:14.38Z,125f17ae-5bf2-4265-bbec-d10456617aaa,16.22,0.14,129.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:13:28.2175028Z,2018-02-01T16:14:26.316Z,13255529-5cb5-48aa-b0d6-dd76828dabd6,16.22,0.97,19.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:15:38.9440988Z,2018-02-01T16:17:40.739Z,ff20ea41-0d76-4f25-853c-7e5488cded27,16.25,2.03,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:17:44.9140532Z,2018-02-01T16:19:46.762Z,cd9f4a5b-c93e-4980-b640-7a4bacbe40b4,16.28,2.03,36.0,16
Dotyk.Application.Restaurant,2018-02-01T16:17:47.6331689Z,2018-02-01T16:18:38.554Z,ea0126b1-63dd-40be-944e-0ef006280c8c,16.28,0.85,19.0,16
Dotyk.Application.Restaurant,2018-02-01T16:17:55.1785431Z,2018-02-01T16:18:33.476Z,09f681a0-2728-4e5b-8dc7-abddff69a0d6,16.28,0.64,175.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:17:56.6792868Z,2018-02-01T16:19:01.229Z,4e67536e-3158-4b39-9164-c5b743c51eef,16.28,1.08,129.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:18:50.529983Z,2018-02-01T16:37:16.11Z,221a9b3a-f03a-480f-833d-113386ef8e14,16.3,18.43,19.0,16
